trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'e': 0.23053581831852593, 'a': 0.5}",25,10,15.569021038585445,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'e': 0.22823046013534068, 'a': 0.5}",30,19,20.55520033953514,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'e': 0.22594815553398728, 'a': 0.5}",25,13,-30.154316946837824,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
149,False,"{'e': 0.22368867397864742, 'a': 0.5}",25,7,22.53066358633973,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'e': 0.22145178723886094, 'a': 0.5}",20,6,23.96358403528322,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'e': 0.21923726936647234, 'a': 0.5}",30,10,25.39981595928701,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'e': 0.2170448966728076, 'a': 0.5}",35,24,18.416222602507407,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'e': 0.21487444770607952, 'a': 0.5}",20,11,16.140870087765297,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'e': 0.21272570322901874, 'a': 0.5}",20,12,15.902957649091949,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'e': 0.21059844619672854, 'a': 0.5}",20,2,1.3176823463841267,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
156,False,"{'e': 0.20849246173476127, 'a': 0.5}",20,12,17.937721152071944,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'e': 0.20640753711741366, 'a': 0.5}",30,21,7.598911452284565,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'e': 0.20434346174623952, 'a': 0.5}",20,12,2.1793086361133645,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'e': 0.20230002712877712, 'a': 0.5}",20,14,10.411066581885162,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'e': 0.20027702685748935, 'a': 0.5}",20,2,-33.38105434428385,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
161,False,"{'e': 0.19827425658891445, 'a': 0.5}",20,0,-30.677726344447045,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
162,False,"{'e': 0.1962915140230253, 'a': 0.5}",20,9,-3.6784575439794365,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
163,False,"{'e': 0.19432859888279505, 'a': 0.5}",20,0,25.00412795622182,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'e': 0.1923853128939671, 'a': 0.5}",25,9,4.426213883555166,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
165,False,"{'e': 0.19046145976502743, 'a': 0.5}",25,11,-2.338142916433136,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
166,False,"{'e': 0.18855684516737714, 'a': 0.5}",25,10,26.546796581453158,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'e': 0.18667127671570335, 'a': 0.5}",20,13,-29.29200060234845,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'e': 0.18480456394854633, 'a': 0.5}",25,5,14.694817215305491,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
169,False,"{'e': 0.18295651830906087, 'a': 0.5}",25,11,26.639293549423936,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'e': 0.18112695312597027, 'a': 0.5}",25,13,22.602847376726444,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'e': 0.17931568359471056, 'a': 0.5}",20,8,20.380739627562658,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'e': 0.17752252675876345, 'a': 0.5}",25,14,21.63164226137633,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'e': 0.17574730149117582, 'a': 0.5}",20,8,-12.664642523640506,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
174,False,"{'e': 0.17398982847626407, 'a': 0.5}",25,15,-21.063163135515325,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'e': 0.17224993019150142, 'a': 0.5}",20,12,2.0675462145932513,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'e': 0.1705274308895864, 'a': 0.5}",20,12,12.835327558187231,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'e': 0.16882215658069055, 'a': 0.5}",20,12,1.9103208258985942,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'e': 0.16713393501488363, 'a': 0.5}",25,10,28.980700415349393,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'e': 0.16546259566473479, 'a': 0.5}",20,16,7.207650255614598,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'e': 0.16380796970808745, 'a': 0.5}",25,18,-41.401492382244584,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
181,False,"{'e': 0.16216989001100657, 'a': 0.5}",25,11,27.04395948153883,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'e': 0.1605481911108965, 'a': 0.5}",30,16,12.56607787199889,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'e': 0.15894270919978754, 'a': 0.5}",35,16,27.17222761707823,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
